plate_id,letter,1,2,3,4,5,6,7,8,9,10,11,12
KS-TLI_21,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,DDI blank,DDI blank,DDI blank,FER1101,FER1101,FER1101,FER1205,FER1205,FER1205,FER1310,FER1310,FER1310
,B,0.005 M,0.005 M,0.005 M,FER1103,FER1103,FER1103,FER1206,FER1206,FER1206,FER1311,FER1311,FER1311
,C,0.01 M,0.01 M,0.01 M,FER1105,FER1105,FER1105,FER1208,FER1208,FER1208,FER1404,FER1404,FER1404
,D,0.015 M,0.015 M,0.015 M,FER1106,FER1106,FER1106,FER1210,FER1210,FER1210,FER1405,FER1405,FER1405
,E,0.2 mM,0.2 mM,0.2 mM,FER1109,FER1109,FER1109,FER1302,FER1302,FER1302,FER1406,FER1406,FER1406
,F,0.05 mM redo,0.05 mM redo,0.05 mM redo,FER1112,FER1112,FER1112,FER1306,FER1306,FER1306,FER1409,FER1409,FER1409
,G,standard1,standard1,standard1,FER1203,FER1203,FER1203,FER1307,FER1307,FER1307,FER1411,FER1411,FER1411
,H,FER1311,FER1311,FER1311,FER1204,FER1204,FER1204,FER1308,FER1308,FER1308,FER1412,FER1412,FER1412
,,,,,,,,,,,,,
KS-TLI_22,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,DDI blank,DDI blank,DDI blank,FER1101,FER1101,FER1101,FER1205,FER1205,FER1205,FER1310,FER1310,FER1310
,B,0.005 M,0.005 M,0.005 M,FER1103,FER1103,FER1103,FER1206,FER1206,FER1206,FER1311,FER1311,FER1311
,C,0.01 M,0.01 M,0.01 M,FER1105,FER1105,FER1105,FER1208,FER1208,FER1208,FER1404,FER1404,FER1404
,D,0.015 M,0.015 M,0.015 M,FER1106,FER1106,FER1106,FER1210,FER1210,FER1210,FER1405,FER1405,FER1405
,E,0.2 mM,0.2 mM,0.2 mM,FER1109,FER1109,FER1109,FER1302,FER1302,FER1302,FER1406,FER1406,FER1406
,F,0.05 mM redo,0.05 mM redo,0.05 mM redo,FER1112,FER1112,FER1112,FER1306,FER1306,FER1306,FER1409,FER1409,FER1409
,G,standard2,standard2,standard2,FER1203,FER1203,FER1203,FER1307,FER1307,FER1307,FER1411,FER1411,FER1411
,H,FER1311,FER1311,FER1311 ,FER1204,FER1204,FER1204,FER1308,FER1308,FER1308,FER1412,FER1412,FER1412
,,,,,,,,,,,,,
OH_21_Plate_3,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,DDI blank,DDI blank,DDI blank,FER4101,FER4101,FER4101,FER4204,FER4204,FER4204,FER4311,FER4311,FER4311
,B,0.005 M,0.005 M,0.005 M,FER4105,FER4105,FER4105,FER4206,FER4206,FER4206,FER4312,FER4312,FER4312
,C,0.01 M,0.01 M,0.01 M,FER4106,FER4106,FER4106,FER4210,FER4210,FER4210,FER4402,FER4402,FER4402
,D,0.015 M,0.015 M,0.015 M,FER4107,FER4107,FER4107,FER4212,FER4212,FER4212,FER4403,FER4403,FER4403
,E,0.2 mM,0.2 mM,0.2 mM,FER4108,FER4108,FER4108,FER4302,FER4302,FER4302,FER4406,FER4406,FER4406
,F,0.2 mM redo,0.2 mM redo,0.2 mM redo,FER4112,FER4112,FER4112,FER4304,FER4304,FER4304,FER4410,FER4410,FER4410
,G,standard3,standard3,standard3,FER4201,FER4201,FER4201,FER4309,FER4309,FER4309,FER4411,FER4411,FER4411
,H,FER4302,FER4302,FER4302,FER4203,FER4203,FER4203,FER4310,FER4310,FER4310,FER4412,FER4412,FER4412
,,,,,,,,,,,,,
OH_21_Plate_4,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,DDI blank,DDI blank,DDI blank,FER4101,FER4101,FER4101,FER4204,FER4204,FER4204,FER4311,FER4311,FER4311
,B,0.005 M,0.005 M,0.005 M,FER4105,FER4105,FER4105,FER4206,FER4206,FER4206,FER4312,FER4312,FER4312
,C,0.01 M,0.01 M,0.01 M,FER4106,FER4106,FER4106,FER4210,FER4210,FER4210,FER4402,FER4402,FER4402
,D,0.015 M,0.015 M,0.015 M,FER4107,FER4107,FER4107,FER4212,FER4212,FER4212,FER4403,FER4403,FER4403
,E,0.2 mM,0.2 mM,0.2 mM,FER4108,FER4108,FER4108,FER4302,FER4302,FER4302,FER4406,FER4406,FER4406
,F,0.2 mM redo,0.2 mM redo,0.2 mM redo,FER4112,FER4112,FER4112,FER4304,FER4304,FER4304,FER4410,FER4410,FER4410
,G,standard4,standard4,standard4,FER4201,FER4201,FER4201,FER4309,FER4309,FER4309,FER4411,FER4411,FER4411
,H,FER4302,FER4302,FER4302,FER4203,FER4203,FER4203,FER4310,FER4310,FER4310,FER4412,FER4412,FER4412
,,,,,,,,,,,,,
OH_22_Plate_3,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,DDI blank,DDI blank,DDI blank,FER4101,FER4101,FER4101,FER4204,FER4204,FER4204,FER4311,FER4311,FER4311
,B,0.005 M,0.005 M,0.005 M,FER4105,FER4105,FER4105,FER4206,FER4206,FER4206,FER4312,FER4312,FER4312
,C,0.01 M,0.01 M,0.01 M,FER4106,FER4106,FER4106,FER4210,FER4210,FER4210,FER4402,FER4402,FER4402
,D,0.015 M,0.015 M,0.015 M,FER4017,FER4017,FER4017,FER4212,FER4212,FER4212,FER4403,FER4403,FER4403
,E,0.2 mM,0.2 mM,0.2 mM,FER4108,FER4108,FER4108,FER4302 ,FER4302 ,FER4302 ,FER4406,FER4406,FER4406
,F,0.005 M redo,0.005 M redo,0.005 M redo,FER4112,FER4112,FER4112,FER4304,FER4304,FER4304,FER4410,FER4410,FER4410
,G,standard5,standard5,standard5,FER4201,FER4201,FER4201,FER4309 ,FER4309 ,FER4309 ,FER4411,FER4411,FER4411
,H,FER4105,FER4105,FER4105,FER4203,FER4203,FER4203,FER4310,FER4310,FER4310,FER4412,FER4412,FER4412
,,,,,,,,,,,,,
OH_22_Plate_4,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,DDI blank,DDI blank,DDI blank,FER4101,FER4101,FER4101,FER4204,FER4204,FER4204,FER4311,FER4311,FER4311
,B,0.005 M,0.005 M,0.005 M,FER4105,FER4105,FER4105,FER4206,FER4206,FER4206,FER4312,FER4312,FER4312
,C,0.01 M,0.01 M,0.01 M,FER4106,FER4106,FER4106,FER4210,FER4210,FER4210,FER4402,FER4402,FER4402
,D,0.015 M,0.015 M,0.015 M,FER4017,FER4017,FER4017,FER4212,FER4212,FER4212,FER4403,FER4403,FER4403
,E,0.2 mM,0.2 mM,0.2 mM,FER4108,FER4108,FER4108,FER4302 ,FER4302 ,FER4302 ,FER4406,FER4406,FER4406
,F,0.005 M redo,0.005 M redo,0.005 M redo,FER4112,FER4112,FER4112,FER4304,FER4304,FER4304,FER4410,FER4410,FER4410
,G,standard6,standard6,standard6,FER4201,FER4201,FER4201,FER4309 ,FER4309 ,FER4309 ,FER4411,FER4411,FER4411
,H,FER4105,FER4105,FER4105,FER4203,FER4203,FER4203,FER4310,FER4310,FER4310,FER4412,FER4412,FER4412
,,,,,,,,,,,,,
UMN_21_Plate_1,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,DDI blank,DDI blank,DDI blank,FER2409,FER2409,FER2409,FER2307,FER2307,FER2307,FER2203,FER2203,FER2203
,B,0.005 M,0.005 M,0.005 M,FER2112,FER2112,FER2112,FER2101,FER2101,FER2101,FER2103,FER2103,FER2103
,C,0.01 M,0.01 M,0.01 M,FER2308,FER2308,FER2308,FER2306,FER2306,FER2306,FER2404,FER2404,FER2404
,D,0.015 M,0.015 M,0.015 M,FER2405,FER2405,FER2405,FER2204,FER2204,FER2204,FER2412,FER2412,FER2412
,E,0.2 mM,0.2 mM,0.2 mM,FER2310,FER2310,FER2310,FER2411,FER2411,FER2411,FER2105,FER2105,FER2105
,F,0.05 mM redo,0.05 mM redo,0.05 mM redo,FER2205,FER2205,FER2205,FER2109,FER2109,FER2109,FER2106,FER2106,FER2106
,G,standard7,standard7,standard7,FER2208,FER2208,FER2208,FER2302,FER2302,FER2302,FER2406,FER2406,FER2406
,H,FER2105,FER2105,FER2105,FER2311,FER2311,FER2311,FER2210,FER2210,FER2210,FER2206,FER2206,FER2206
,,,,,,,,,,,,,
UMN_22_UROP,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,DDI blank,DDI blank,DDI blank,FER2101,FER2101,FER2101,FER2205,FER2205,FER2205,FER2310,FER2310,FER2310
,B,0.005 M,0.005 M,0.005 M,FER2103,FER2103,FER2103,FER2206,FER2206,FER2206,FER2311,FER2311,FER2311
,C,0.01 M,0.01 M,0.01 M,FER2105,FER2105,FER2105,FER2208,FER2208,FER2208,FER2404,FER2404,FER2404
,D,0.015 M,0.015 M,0.015 M,FER2106,FER2106,FER2106,FER2210,FER2210,FER2210,FER2405,FER2405,FER2405
,E,0.2 mM,0.2 mM,0.2 mM,FER2109,FER2109,FER2109,FER2302,FER2302,FER2302,FER2406,FER2406,FER2406
,F,0.015 M redo,0.015 M redo,0.015 M redo,FER2112,FER2112,FER2112,FER2306,FER2306,FER2306,FER2409,FER2409,FER2409
,G,standard8,standard8,standard8,FER2203,FER2203,FER2203,FER2307,FER2307,FER2307,FER2411,FER2411,FER2411
,H,FER2306,FER2306,FER2306,FER2204,FER2204,FER2204,FER2308,FER2308,FER2308,FER2412,FER2412,FER2412
,,,,,,,,,,,,,
UNL_21_Plate_2,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,DDI blank,DDI blank,DDI blank,FER3102,FER3102,FER3102,FER3206,FER3206,FER3206,FER3307,FER3307,FER3307
,B,0.005 M,0.005 M,0.005 M,FER3104,FER3104,FER3104,FER3208,FER3208,FER3208,FER3309,FER3309,FER3309
,C,0.01 M,0.01 M,0.01 M,FER3106,FER3106,FER3106,FER3211,FER3211,FER3211,FER3403,FER3403,FER3403
,D,0.015 M,0.015 M,0.015 M,FER3107,FER3107,FER3107,FER3212,FER3212,FER3212,FER3406,FER3406,FER3406
,E,0.2 mM,0.2 mM,0.2 mM,FER3110,FER3110,FER3110,FER3301,FER3301,FER3301,FER3407,FER3407,FER3407
,F,0.2 mM redo,0.2 mM redo,0.2 mM redo,FER3111,FER3111,FER3111,FER3303,FER3303,FER3303,FER3408,FER3408,FER3408
,G,standard9,standard9,standard9,FER3202,FER3202,FER3202,FER3304,FER3304,FER3304,FER3412,FER3412,FER3412
,H,FER3111,FER3111,FER3111,FER3205,FER3205,FER3205,FER3305,FER3305,FER3305,FER3307,FER3307,FER3307
,,,,,,,,,,,,,
UNL_22,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,DDI blank,DDI blank,DDI blank,FER3102,FER3102,FER3102,FER3206,FER3206,FER3206,FER3307,FER3307,FER3307
,B,0.005 M,0.005 M,0.005 M,FER3104,FER3104,FER3104,FER3208,FER3208,FER3208,FER3309,FER3309,FER3309
,C,0.01 M,0.01 M,0.01 M,FER3106,FER3106,FER3106,FER3211,FER3211,FER3211,FER3403,FER3403,FER3403
,D,0.015 M,0.015 M,0.015 M,FER3107,FER3107,FER3107,FER3212,FER3212,FER3212,FER3406,FER3406,FER3406
,E,0.2 mM,0.2 mM,0.2 mM,FER3110,FER3110,FER3110,FER3301,FER3301,FER3301,FER3407,FER3407,FER3407
,F,0.2 mM redo,0.2 mM redo,0.2 mM redo,FER3111,FER3111,FER3111,FER3303,FER3303,FER3303,FER3408,FER3408,FER3408
,G,standard10,standard10,standard10,FER3202,FER3202,FER3202,FER3304,FER3304,FER3304,FER3412,FER3412,FER3412
,H,FER3111,FER3111,FER3111,FER3205,FER3205,FER3205,FER3305,FER3305,FER3305,FER3307,FER3307,FER3307
,,,,,,,,,,,,,
WI-FMAI_21_Plate_3,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,DDI blank,DDI blank,DDI blank,FER5101,FER5101,FER5101,FER5205,FER5205,FER5205,FER5310,FER5310,FER5310
,B,0.005 M,0.005 M,0.005 M,FER5104,FER5104,FER5104,FER5206,FER5206,FER5206,FER5311,FER5311,FER5311
,C,0.01 M,0.01 M,0.01 M,FER5106,FER5106,FER5106,FER5211,FER5211,FER5211,FER5401,FER5401,FER5401
,D,0.015 M,0.015 M,0.015 M,FER5108,FER5108,FER5108,FER5212,FER5212,FER5212,FER5405,FER5405,FER5405
,E,0.2 mM,0.2 mM,0.2 mM,FER5109,FER5109,FER5109,FER5303,FER5303,FER5303,FER5407,FER5407,FER5407
,F,0.15 mM redo,0.15 mM redo,0.15 mM redo,FER5112,FER5112,FER5112,FER5304,FER5304,FER5304,FER5409,FER5409,FER5409
,G,standard11,standard11,standard11,FER5202,FER5202,FER5202,FER5306,FER5306,FER5306,FER5411,FER5411,FER5411
